"","ref_date","financial_market_statistics","value"
"1503",2012-01-20,"Real return benchmark bond yield, long term",0.524
"1504",2012-01-20,"Target rate",1
"1505",2012-01-21,"Real return benchmark bond yield, long term",0
"1506",2012-01-21,"Target rate",0
"1507",2012-01-22,"Real return benchmark bond yield, long term",0
"1508",2012-01-22,"Target rate",0
"1509",2012-01-23,"Real return benchmark bond yield, long term",0.55
"1510",2012-01-23,"Target rate",1
"1511",2012-01-24,"Real return benchmark bond yield, long term",0.553
"1512",2012-01-24,"Target rate",1
"1513",2012-01-25,"Real return benchmark bond yield, long term",0.531
"1514",2012-01-25,"Target rate",1
"1515",2012-01-26,"Real return benchmark bond yield, long term",0.488
"1516",2012-01-26,"Target rate",1
"1517",2012-01-27,"Real return benchmark bond yield, long term",0.467
"1518",2012-01-27,"Target rate",1
"1519",2012-01-28,"Real return benchmark bond yield, long term",0
"1520",2012-01-28,"Target rate",0
"1521",2012-01-29,"Real return benchmark bond yield, long term",0
"1522",2012-01-29,"Target rate",0
"1523",2012-01-30,"Real return benchmark bond yield, long term",0.415
"1524",2012-01-30,"Target rate",1
"1525",2012-01-31,"Real return benchmark bond yield, long term",0.377
"1526",2012-01-31,"Target rate",1
"1527",2012-02-01,"Real return benchmark bond yield, long term",0.387
"1528",2012-02-01,"Target rate",1
"1529",2012-02-02,"Real return benchmark bond yield, long term",0.43
"1530",2012-02-02,"Target rate",1
"1531",2012-02-03,"Real return benchmark bond yield, long term",0.443
"1532",2012-02-03,"Target rate",1
"1533",2012-02-04,"Real return benchmark bond yield, long term",0
"1534",2012-02-04,"Target rate",0
"1535",2012-02-05,"Real return benchmark bond yield, long term",0
"1536",2012-02-05,"Target rate",0
"1537",2012-02-06,"Real return benchmark bond yield, long term",0.419
"1538",2012-02-06,"Target rate",1
"1539",2012-02-07,"Real return benchmark bond yield, long term",0.468
"1540",2012-02-07,"Target rate",1
"1541",2012-02-08,"Real return benchmark bond yield, long term",0.501
"1542",2012-02-08,"Target rate",1
"1543",2012-02-09,"Real return benchmark bond yield, long term",0.515
"1544",2012-02-09,"Target rate",1
"1545",2012-02-10,"Real return benchmark bond yield, long term",0.485
"1546",2012-02-10,"Target rate",1
"1547",2012-02-11,"Real return benchmark bond yield, long term",0
"1548",2012-02-11,"Target rate",0
"1549",2012-02-12,"Real return benchmark bond yield, long term",0
"1550",2012-02-12,"Target rate",0
"1551",2012-02-13,"Real return benchmark bond yield, long term",0.504
"1552",2012-02-13,"Target rate",1
"1553",2012-02-14,"Real return benchmark bond yield, long term",0.47
"1554",2012-02-14,"Target rate",1
"1555",2012-02-15,"Real return benchmark bond yield, long term",0.478
"1556",2012-02-15,"Target rate",1
"1557",2012-02-16,"Real return benchmark bond yield, long term",0.508
"1558",2012-02-16,"Target rate",1
"1559",2012-02-17,"Real return benchmark bond yield, long term",0.526
"1560",2012-02-17,"Target rate",1
"1561",2012-02-18,"Real return benchmark bond yield, long term",0
"1562",2012-02-18,"Target rate",0
"1563",2012-02-19,"Real return benchmark bond yield, long term",0
"1564",2012-02-19,"Target rate",0
"1565",2012-02-20,"Real return benchmark bond yield, long term",NA
"1566",2012-02-20,"Target rate",1
"1567",2012-02-21,"Real return benchmark bond yield, long term",0.554
"1568",2012-02-21,"Target rate",1
"1569",2012-02-22,"Real return benchmark bond yield, long term",0.489
"1570",2012-02-22,"Target rate",1
"1571",2012-02-23,"Real return benchmark bond yield, long term",0.49
"1572",2012-02-23,"Target rate",1
"1573",2012-02-24,"Real return benchmark bond yield, long term",0.482
"1574",2012-02-24,"Target rate",1
"1575",2012-02-25,"Real return benchmark bond yield, long term",0
"1576",2012-02-25,"Target rate",0
"1577",2012-02-26,"Real return benchmark bond yield, long term",0
"1578",2012-02-26,"Target rate",0
"1579",2012-02-27,"Real return benchmark bond yield, long term",0.478
"1580",2012-02-27,"Target rate",1
"1581",2012-02-28,"Real return benchmark bond yield, long term",0.45
"1582",2012-02-28,"Target rate",1
"1583",2012-02-29,"Real return benchmark bond yield, long term",0.439
"1584",2012-02-29,"Target rate",1
"1585",2012-03-01,"Real return benchmark bond yield, long term",0.45
"1586",2012-03-01,"Target rate",1
"1587",2012-03-02,"Real return benchmark bond yield, long term",0.431
"1588",2012-03-02,"Target rate",1
"1589",2012-03-03,"Real return benchmark bond yield, long term",0
"1590",2012-03-03,"Target rate",0
"1591",2012-03-04,"Real return benchmark bond yield, long term",0
"1592",2012-03-04,"Target rate",0
"1593",2012-03-05,"Real return benchmark bond yield, long term",0.452
"1594",2012-03-05,"Target rate",1
"1595",2012-03-06,"Real return benchmark bond yield, long term",0.431
"1596",2012-03-06,"Target rate",1
"1597",2012-03-07,"Real return benchmark bond yield, long term",0.45
"1598",2012-03-07,"Target rate",1
"1599",2012-03-08,"Real return benchmark bond yield, long term",0.471
"1600",2012-03-08,"Target rate",1
"1601",2012-03-09,"Real return benchmark bond yield, long term",0.459
"1602",2012-03-09,"Target rate",1
"1603",2012-03-10,"Real return benchmark bond yield, long term",0
"1604",2012-03-10,"Target rate",0
"1605",2012-03-11,"Real return benchmark bond yield, long term",0
"1606",2012-03-11,"Target rate",0
"1607",2012-03-12,"Real return benchmark bond yield, long term",0.446
"1608",2012-03-12,"Target rate",1
"1609",2012-03-13,"Real return benchmark bond yield, long term",0.482
"1610",2012-03-13,"Target rate",1
"1611",2012-03-14,"Real return benchmark bond yield, long term",0.521
"1612",2012-03-14,"Target rate",1
"1613",2012-03-15,"Real return benchmark bond yield, long term",0.556
"1614",2012-03-15,"Target rate",1
"1615",2012-03-16,"Real return benchmark bond yield, long term",0.585
"1616",2012-03-16,"Target rate",1
"1617",2012-03-17,"Real return benchmark bond yield, long term",0
"1618",2012-03-17,"Target rate",0
"1619",2012-03-18,"Real return benchmark bond yield, long term",0
"1620",2012-03-18,"Target rate",0
"1621",2012-03-19,"Real return benchmark bond yield, long term",0.619
"1622",2012-03-19,"Target rate",1
"1623",2012-03-20,"Real return benchmark bond yield, long term",0.613
"1624",2012-03-20,"Target rate",1
"1625",2012-03-21,"Real return benchmark bond yield, long term",0.574
"1626",2012-03-21,"Target rate",1
"1627",2012-03-22,"Real return benchmark bond yield, long term",0.541
"1628",2012-03-22,"Target rate",1
"1629",2012-03-23,"Real return benchmark bond yield, long term",0.53
"1630",2012-03-23,"Target rate",1
"1631",2012-03-24,"Real return benchmark bond yield, long term",0
"1632",2012-03-24,"Target rate",0
"1633",2012-03-25,"Real return benchmark bond yield, long term",0
"1634",2012-03-25,"Target rate",0
"1635",2012-03-26,"Real return benchmark bond yield, long term",0.537
"1636",2012-03-26,"Target rate",1
"1637",2012-03-27,"Real return benchmark bond yield, long term",0.513
"1638",2012-03-27,"Target rate",1
"1639",2012-03-28,"Real return benchmark bond yield, long term",0.523
"1640",2012-03-28,"Target rate",1
"1641",2012-03-29,"Real return benchmark bond yield, long term",0.505
"1642",2012-03-29,"Target rate",1
"1643",2012-03-30,"Real return benchmark bond yield, long term",0.512
"1644",2012-03-30,"Target rate",1
"1645",2012-03-31,"Real return benchmark bond yield, long term",0
"1646",2012-03-31,"Target rate",0
"1647",2012-04-01,"Real return benchmark bond yield, long term",0
"1648",2012-04-01,"Target rate",0
"1649",2012-04-02,"Real return benchmark bond yield, long term",0.519
"1650",2012-04-02,"Target rate",1
"1651",2012-04-03,"Real return benchmark bond yield, long term",0.588
"1652",2012-04-03,"Target rate",1
"1653",2012-04-04,"Real return benchmark bond yield, long term",0.539
"1654",2012-04-04,"Target rate",1
"1655",2012-04-05,"Real return benchmark bond yield, long term",0.536
"1656",2012-04-05,"Target rate",1
"1657",2012-04-06,"Real return benchmark bond yield, long term",NA
"1658",2012-04-06,"Target rate",1
"1659",2012-04-07,"Real return benchmark bond yield, long term",0
"1660",2012-04-07,"Target rate",0
"1661",2012-04-08,"Real return benchmark bond yield, long term",0
"1662",2012-04-08,"Target rate",0
"1663",2012-04-09,"Real return benchmark bond yield, long term",0.511
"1664",2012-04-09,"Target rate",1
"1665",2012-04-10,"Real return benchmark bond yield, long term",0.444
"1666",2012-04-10,"Target rate",1
"1667",2012-04-11,"Real return benchmark bond yield, long term",0.466
"1668",2012-04-11,"Target rate",1
"1669",2012-04-12,"Real return benchmark bond yield, long term",0.48
"1670",2012-04-12,"Target rate",1
"1671",2012-04-13,"Real return benchmark bond yield, long term",0.433
"1672",2012-04-13,"Target rate",1
"1673",2012-04-14,"Real return benchmark bond yield, long term",0
"1674",2012-04-14,"Target rate",0
"1675",2012-04-15,"Real return benchmark bond yield, long term",0
"1676",2012-04-15,"Target rate",0
"1677",2012-04-16,"Real return benchmark bond yield, long term",0.455
"1678",2012-04-16,"Target rate",1
"1679",2012-04-17,"Real return benchmark bond yield, long term",0.492
"1680",2012-04-17,"Target rate",1
"1681",2012-04-18,"Real return benchmark bond yield, long term",0.474
"1682",2012-04-18,"Target rate",1
"1683",2012-04-19,"Real return benchmark bond yield, long term",0.482
"1684",2012-04-19,"Target rate",1
"1685",2012-04-20,"Real return benchmark bond yield, long term",0.544
"1686",2012-04-20,"Target rate",1
"1687",2012-04-21,"Real return benchmark bond yield, long term",0
"1688",2012-04-21,"Target rate",0
"1689",2012-04-22,"Real return benchmark bond yield, long term",0
"1690",2012-04-22,"Target rate",0
"1691",2012-04-23,"Real return benchmark bond yield, long term",0.535
"1692",2012-04-23,"Target rate",1
"1693",2012-04-24,"Real return benchmark bond yield, long term",0.572
"1694",2012-04-24,"Target rate",1
"1695",2012-04-25,"Real return benchmark bond yield, long term",0.593
"1696",2012-04-25,"Target rate",1
"1697",2012-04-26,"Real return benchmark bond yield, long term",0.571
"1698",2012-04-26,"Target rate",1
"1699",2012-04-27,"Real return benchmark bond yield, long term",0.592
"1700",2012-04-27,"Target rate",1
"1701",2012-04-28,"Real return benchmark bond yield, long term",0
"1702",2012-04-28,"Target rate",0
"1703",2012-04-29,"Real return benchmark bond yield, long term",0
"1704",2012-04-29,"Target rate",0
"1705",2012-04-30,"Real return benchmark bond yield, long term",0.565
"1706",2012-04-30,"Target rate",1
"1707",2012-05-01,"Real return benchmark bond yield, long term",0.569
"1708",2012-05-01,"Target rate",1
"1709",2012-05-02,"Real return benchmark bond yield, long term",0.552
"1710",2012-05-02,"Target rate",1
"1711",2012-05-03,"Real return benchmark bond yield, long term",0.552
"1712",2012-05-03,"Target rate",1
"1713",2012-05-04,"Real return benchmark bond yield, long term",0.515
"1714",2012-05-04,"Target rate",1
"1715",2012-05-05,"Real return benchmark bond yield, long term",0
"1716",2012-05-05,"Target rate",0
"1717",2012-05-06,"Real return benchmark bond yield, long term",0
"1718",2012-05-06,"Target rate",0
"1719",2012-05-07,"Real return benchmark bond yield, long term",0.525
"1720",2012-05-07,"Target rate",1
"1721",2012-05-08,"Real return benchmark bond yield, long term",0.488
"1722",2012-05-08,"Target rate",1
"1723",2012-05-09,"Real return benchmark bond yield, long term",0.494
"1724",2012-05-09,"Target rate",1
"1725",2012-05-10,"Real return benchmark bond yield, long term",0.468
"1726",2012-05-10,"Target rate",1
"1727",2012-05-11,"Real return benchmark bond yield, long term",0.436
"1728",2012-05-11,"Target rate",1
"1729",2012-05-12,"Real return benchmark bond yield, long term",0
"1730",2012-05-12,"Target rate",0
"1731",2012-05-13,"Real return benchmark bond yield, long term",0
"1732",2012-05-13,"Target rate",0
"1733",2012-05-14,"Real return benchmark bond yield, long term",0.424
"1734",2012-05-14,"Target rate",1
"1735",2012-05-15,"Real return benchmark bond yield, long term",0.454
"1736",2012-05-15,"Target rate",1
"1737",2012-05-16,"Real return benchmark bond yield, long term",0.468
"1738",2012-05-16,"Target rate",1
"1739",2012-05-17,"Real return benchmark bond yield, long term",0.436
"1740",2012-05-17,"Target rate",1
"1741",2012-05-18,"Real return benchmark bond yield, long term",0.433
"1742",2012-05-18,"Target rate",1
"1743",2012-05-19,"Real return benchmark bond yield, long term",0
"1744",2012-05-19,"Target rate",0
"1745",2012-05-20,"Real return benchmark bond yield, long term",0
"1746",2012-05-20,"Target rate",0
"1747",2012-05-21,"Real return benchmark bond yield, long term",NA
"1748",2012-05-21,"Target rate",1
"1749",2012-05-22,"Real return benchmark bond yield, long term",0.431
"1750",2012-05-22,"Target rate",1
"1751",2012-05-23,"Real return benchmark bond yield, long term",0.389
"1752",2012-05-23,"Target rate",1
"1753",2012-05-24,"Real return benchmark bond yield, long term",0.376
"1754",2012-05-24,"Target rate",1
"1755",2012-05-25,"Real return benchmark bond yield, long term",0.345
"1756",2012-05-25,"Target rate",1
"1757",2012-05-26,"Real return benchmark bond yield, long term",0
"1758",2012-05-26,"Target rate",0
"1759",2012-05-27,"Real return benchmark bond yield, long term",0
"1760",2012-05-27,"Target rate",0
"1761",2012-05-28,"Real return benchmark bond yield, long term",0.371
"1762",2012-05-28,"Target rate",1
"1763",2012-05-29,"Real return benchmark bond yield, long term",0.4
"1764",2012-05-29,"Target rate",1
"1765",2012-05-30,"Real return benchmark bond yield, long term",0.367
"1766",2012-05-30,"Target rate",1
"1767",2012-05-31,"Real return benchmark bond yield, long term",0.335
"1768",2012-05-31,"Target rate",1
"1769",2012-06-01,"Real return benchmark bond yield, long term",0.301
"1770",2012-06-01,"Target rate",1
"1771",2012-06-02,"Real return benchmark bond yield, long term",0
"1772",2012-06-02,"Target rate",0
"1773",2012-06-03,"Real return benchmark bond yield, long term",0
"1774",2012-06-03,"Target rate",0
"1775",2012-06-04,"Real return benchmark bond yield, long term",0.304
"1776",2012-06-04,"Target rate",1
"1777",2012-06-05,"Real return benchmark bond yield, long term",0.372
"1778",2012-06-05,"Target rate",1
"1779",2012-06-06,"Real return benchmark bond yield, long term",0.422
"1780",2012-06-06,"Target rate",1
"1781",2012-06-07,"Real return benchmark bond yield, long term",0.393
"1782",2012-06-07,"Target rate",1
"1783",2012-06-08,"Real return benchmark bond yield, long term",0.391
"1784",2012-06-08,"Target rate",1
"1785",2012-06-09,"Real return benchmark bond yield, long term",0
"1786",2012-06-09,"Target rate",0
"1787",2012-06-10,"Real return benchmark bond yield, long term",0
"1788",2012-06-10,"Target rate",0
"1789",2012-06-11,"Real return benchmark bond yield, long term",0.364
"1790",2012-06-11,"Target rate",1
"1791",2012-06-12,"Real return benchmark bond yield, long term",0.393
"1792",2012-06-12,"Target rate",1
"1793",2012-06-13,"Real return benchmark bond yield, long term",0.384
"1794",2012-06-13,"Target rate",1
"1795",2012-06-14,"Real return benchmark bond yield, long term",0.411
"1796",2012-06-14,"Target rate",1
"1797",2012-06-15,"Real return benchmark bond yield, long term",0.38
"1798",2012-06-15,"Target rate",1
"1799",2012-06-16,"Real return benchmark bond yield, long term",0
"1800",2012-06-16,"Target rate",0
"1801",2012-06-17,"Real return benchmark bond yield, long term",0
"1802",2012-06-17,"Target rate",0
"1803",2012-06-18,"Real return benchmark bond yield, long term",0.391
"1804",2012-06-18,"Target rate",1
"1805",2012-06-19,"Real return benchmark bond yield, long term",0.4
"1806",2012-06-19,"Target rate",1
"1807",2012-06-20,"Real return benchmark bond yield, long term",0.391
"1808",2012-06-20,"Target rate",1
"1809",2012-06-21,"Real return benchmark bond yield, long term",0.378
"1810",2012-06-21,"Target rate",1
"1811",2012-06-22,"Real return benchmark bond yield, long term",0.436
"1812",2012-06-22,"Target rate",1
