"","ref_date","financial_market_statistics","value"
"506",2010-09-08,"Target rate",1
"507",2010-09-09,"Real return benchmark bond yield, long term",1.38
"508",2010-09-09,"Target rate",1
"509",2010-09-10,"Real return benchmark bond yield, long term",1.36
"510",2010-09-10,"Target rate",1
"511",2010-09-11,"Real return benchmark bond yield, long term",0
"512",2010-09-11,"Target rate",0
"513",2010-09-12,"Real return benchmark bond yield, long term",0
"514",2010-09-12,"Target rate",0
"515",2010-09-13,"Real return benchmark bond yield, long term",1.33
"516",2010-09-13,"Target rate",1
"517",2010-09-14,"Real return benchmark bond yield, long term",1.319
"518",2010-09-14,"Target rate",1
"519",2010-09-15,"Real return benchmark bond yield, long term",1.347
"520",2010-09-15,"Target rate",1
"521",2010-09-16,"Real return benchmark bond yield, long term",1.352
"522",2010-09-16,"Target rate",1
"523",2010-09-17,"Real return benchmark bond yield, long term",1.308
"524",2010-09-17,"Target rate",1
"525",2010-09-18,"Real return benchmark bond yield, long term",0
"526",2010-09-18,"Target rate",0
"527",2010-09-19,"Real return benchmark bond yield, long term",0
"528",2010-09-19,"Target rate",0
"529",2010-09-20,"Real return benchmark bond yield, long term",1.3
"530",2010-09-20,"Target rate",1
"531",2010-09-21,"Real return benchmark bond yield, long term",1.299
"532",2010-09-21,"Target rate",1
"533",2010-09-22,"Real return benchmark bond yield, long term",1.254
"534",2010-09-22,"Target rate",1
"535",2010-09-23,"Real return benchmark bond yield, long term",1.236
"536",2010-09-23,"Target rate",1
"537",2010-09-24,"Real return benchmark bond yield, long term",1.235
"538",2010-09-24,"Target rate",1
"539",2010-09-25,"Real return benchmark bond yield, long term",0
"540",2010-09-25,"Target rate",0
"541",2010-09-26,"Real return benchmark bond yield, long term",0
"542",2010-09-26,"Target rate",0
"543",2010-09-27,"Real return benchmark bond yield, long term",1.21
"544",2010-09-27,"Target rate",1
"545",2010-09-28,"Real return benchmark bond yield, long term",1.164
"546",2010-09-28,"Target rate",1
"547",2010-09-29,"Real return benchmark bond yield, long term",1.171
"548",2010-09-29,"Target rate",1
"549",2010-09-30,"Real return benchmark bond yield, long term",1.204
"550",2010-09-30,"Target rate",1
"551",2010-10-01,"Real return benchmark bond yield, long term",1.237
"552",2010-10-01,"Target rate",1
"553",2010-10-02,"Real return benchmark bond yield, long term",0
"554",2010-10-02,"Target rate",0
"555",2010-10-03,"Real return benchmark bond yield, long term",0
"556",2010-10-03,"Target rate",0
"557",2010-10-04,"Real return benchmark bond yield, long term",1.206
"558",2010-10-04,"Target rate",1
"559",2010-10-05,"Real return benchmark bond yield, long term",1.22
"560",2010-10-05,"Target rate",1
"561",2010-10-06,"Real return benchmark bond yield, long term",1.202
