"","ref_date","geo","value"
"336",2015-12-01,"Prince Edward Island",16.3
"337",2016-01-01,"Prince Edward Island",16.5
"338",2016-02-01,"Prince Edward Island",14.8
"339",2016-03-01,"Prince Edward Island",20.8
"340",2016-04-01,"Prince Edward Island",18.7
"341",2016-05-01,"Prince Edward Island",14.4
"342",2016-06-01,"Prince Edward Island",14.6
"343",2016-07-01,"Prince Edward Island",11.4
"344",2016-08-01,"Prince Edward Island",14.3
"345",2016-09-01,"Prince Edward Island",12.6
"346",2016-10-01,"Prince Edward Island",12.9
"347",2016-11-01,"Prince Edward Island",12
"348",2016-12-01,"Prince Edward Island",12.3
"349",2017-01-01,"Prince Edward Island",12.7
"350",2017-02-01,"Prince Edward Island",16.3
"351",2017-03-01,"Prince Edward Island",17.1
"352",2017-04-01,"Prince Edward Island",18.4
"353",2017-05-01,"Prince Edward Island",13.3
"354",2017-06-01,"Prince Edward Island",19.6
"355",2017-07-01,"Prince Edward Island",20.5
"356",2017-08-01,"Prince Edward Island",13.9
"357",2017-09-01,"Prince Edward Island",20.6
"358",2017-10-01,"Prince Edward Island",13.9
"359",2017-11-01,"Prince Edward Island",15
"360",2017-12-01,"Prince Edward Island",11.9
"361",2018-01-01,"Prince Edward Island",13.1
"362",2018-02-01,"Prince Edward Island",14.7
"363",2018-03-01,"Prince Edward Island",16.4
"364",2018-04-01,"Prince Edward Island",17.8
"365",2018-05-01,"Prince Edward Island",16.5
"366",2018-06-01,"Prince Edward Island",17.8
"367",2018-07-01,"Prince Edward Island",15.6
"368",2018-08-01,"Prince Edward Island",12.3
"369",2018-09-01,"Prince Edward Island",10.6
"370",2018-10-01,"Prince Edward Island",9.8
"371",2018-11-01,"Prince Edward Island",13.6
"372",2018-12-01,"Prince Edward Island",10.2
"373",2019-01-01,"Prince Edward Island",16.7
"374",2019-02-01,"Prince Edward Island",13.9
"375",2019-03-01,"Prince Edward Island",16
"376",2019-04-01,"Prince Edward Island",20.8
"377",2019-05-01,"Prince Edward Island",25.8
"378",2019-06-01,"Prince Edward Island",20.3
"379",2019-07-01,"Prince Edward Island",14.4
"380",2019-08-01,"Prince Edward Island",17.7
"381",2019-09-01,"Prince Edward Island",13.8
"382",2019-10-01,"Prince Edward Island",13.5
"383",2019-11-01,"Prince Edward Island",9.9
"384",2019-12-01,"Prince Edward Island",12.3
"385",2020-01-01,"Prince Edward Island",13
"386",2020-02-01,"Prince Edward Island",15.3
"387",2020-03-01,"Prince Edward Island",13.5
"388",2020-04-01,"Prince Edward Island",14.8
"389",2020-05-01,"Prince Edward Island",14.8
"390",2020-06-01,"Prince Edward Island",12.4
"391",2020-07-01,"Prince Edward Island",13.4
"392",2020-08-01,"Prince Edward Island",15.8
"393",2020-09-01,"Prince Edward Island",14.7
"394",2020-10-01,"Prince Edward Island",12.5
"395",2020-11-01,"Prince Edward Island",10.9
"396",2020-12-01,"Prince Edward Island",11.1
"397",2010-01-01,"Nova Scotia",17
"398",2010-02-01,"Nova Scotia",15.4
"399",2010-03-01,"Nova Scotia",20.5
"400",2010-04-01,"Nova Scotia",17.9
"401",2010-05-01,"Nova Scotia",17.8
"402",2010-06-01,"Nova Scotia",18.4
"403",2010-07-01,"Nova Scotia",18.1
"404",2010-08-01,"Nova Scotia",19.3
"405",2010-09-01,"Nova Scotia",16.6
"406",2010-10-01,"Nova Scotia",17.6
"407",2010-11-01,"Nova Scotia",20.5
"408",2010-12-01,"Nova Scotia",19.2
"409",2011-01-01,"Nova Scotia",20.2
"410",2011-02-01,"Nova Scotia",23.9
"411",2011-03-01,"Nova Scotia",21.5
"412",2011-04-01,"Nova Scotia",21
"413",2011-05-01,"Nova Scotia",20.4
"414",2011-06-01,"Nova Scotia",19.4
"415",2011-07-01,"Nova Scotia",15.5
"416",2011-08-01,"Nova Scotia",21.1
"417",2011-09-01,"Nova Scotia",15.8
"418",2011-10-01,"Nova Scotia",16.4
"419",2011-11-01,"Nova Scotia",15.8
"420",2011-12-01,"Nova Scotia",17.9
"421",2012-01-01,"Nova Scotia",12.7
"422",2012-02-01,"Nova Scotia",14.9
"423",2012-03-01,"Nova Scotia",17
"424",2012-04-01,"Nova Scotia",15.9
"425",2012-05-01,"Nova Scotia",18.9
"426",2012-06-01,"Nova Scotia",18.1
"427",2012-07-01,"Nova Scotia",15.5
"428",2012-08-01,"Nova Scotia",18.9
"429",2012-09-01,"Nova Scotia",20.8
"430",2012-10-01,"Nova Scotia",15.4
"431",2012-11-01,"Nova Scotia",13.2
"432",2012-12-01,"Nova Scotia",14.9
"433",2013-01-01,"Nova Scotia",16.6
"434",2013-02-01,"Nova Scotia",19.5
"435",2013-03-01,"Nova Scotia",18.7
"436",2013-04-01,"Nova Scotia",18.2
"437",2013-05-01,"Nova Scotia",19.8
"438",2013-06-01,"Nova Scotia",18.6
"439",2013-07-01,"Nova Scotia",22.6
"440",2013-08-01,"Nova Scotia",19.5
"441",2013-09-01,"Nova Scotia",22.1
"442",2013-10-01,"Nova Scotia",24.9
"443",2013-11-01,"Nova Scotia",19.1
"444",2013-12-01,"Nova Scotia",19.8
"445",2014-01-01,"Nova Scotia",17.3
"446",2014-02-01,"Nova Scotia",17.7
"447",2014-03-01,"Nova Scotia",19.3
"448",2014-04-01,"Nova Scotia",18
"449",2014-05-01,"Nova Scotia",22.7
"450",2014-06-01,"Nova Scotia",19.3
"451",2014-07-01,"Nova Scotia",16.9
"452",2014-08-01,"Nova Scotia",19.5
"453",2014-09-01,"Nova Scotia",19.1
"454",2014-10-01,"Nova Scotia",22.3
"455",2014-11-01,"Nova Scotia",16.9
"456",2014-12-01,"Nova Scotia",18.1
"457",2015-01-01,"Nova Scotia",19.6
"458",2015-02-01,"Nova Scotia",19.7
"459",2015-03-01,"Nova Scotia",19.6
"460",2015-04-01,"Nova Scotia",19.1
"461",2015-05-01,"Nova Scotia",19.2
"462",2015-06-01,"Nova Scotia",20.3
"463",2015-07-01,"Nova Scotia",13.9
"464",2015-08-01,"Nova Scotia",18.8
"465",2015-09-01,"Nova Scotia",18
"466",2015-10-01,"Nova Scotia",19.7
"467",2015-11-01,"Nova Scotia",20.1
"468",2015-12-01,"Nova Scotia",23.1
"469",2016-01-01,"Nova Scotia",17.2
"470",2016-02-01,"Nova Scotia",18.1
"471",2016-03-01,"Nova Scotia",23.2
"472",2016-04-01,"Nova Scotia",22
"473",2016-05-01,"Nova Scotia",16.4
"474",2016-06-01,"Nova Scotia",19.9
"475",2016-07-01,"Nova Scotia",15.9
"476",2016-08-01,"Nova Scotia",19
"477",2016-09-01,"Nova Scotia",19.3
"478",2016-10-01,"Nova Scotia",18.7
"479",2016-11-01,"Nova Scotia",18.7
"480",2016-12-01,"Nova Scotia",19.5
"481",2017-01-01,"Nova Scotia",15.1
"482",2017-02-01,"Nova Scotia",19.4
"483",2017-03-01,"Nova Scotia",16.4
"484",2017-04-01,"Nova Scotia",18.6
"485",2017-05-01,"Nova Scotia",17.5
"486",2017-06-01,"Nova Scotia",19.7
"487",2017-07-01,"Nova Scotia",16.6
"488",2017-08-01,"Nova Scotia",15.7
"489",2017-09-01,"Nova Scotia",18.4
"490",2017-10-01,"Nova Scotia",19.8
"491",2017-11-01,"Nova Scotia",13.5
"492",2017-12-01,"Nova Scotia",18.8
"493",2018-01-01,"Nova Scotia",16.3
"494",2018-02-01,"Nova Scotia",18
"495",2018-03-01,"Nova Scotia",19.6
"496",2018-04-01,"Nova Scotia",20.2
"497",2018-05-01,"Nova Scotia",18.7
"498",2018-06-01,"Nova Scotia",20
"499",2018-07-01,"Nova Scotia",16
"500",2018-08-01,"Nova Scotia",18.5
"501",2018-09-01,"Nova Scotia",19.9
